id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
4186beb5-b227-4e55-9d01-476e57df551e,Pocket Bike Racer,Xbox,CIB,available,0,0,0,0,0,0,0,0,0,7273500,Big Bumpin Sneek King Pocket Racer Lens Cleaner [Value Pack],Xbox 360,title_platform,ok
e9b2b606-9b6f-4b98-8cfe-d663906bda9f,Pokémon XD Gale of Darkness,GameCube,CIB,available,214.54,155.67,214.54,155,0,0,0,0,-214.54,3484,Pokemon XD: Gale of Darkness,Gamecube,stored_id,ok
f1d3b297-7953-48e8-b68b-10bd8b9af9d0,Portal 2,Xbox 360,CIB,available,9.89,8.2,9.89,8.27,0,0,0,0,-9.89,31329,Portal 2,Xbox 360,stored_id,ok
e6b8c85c-51d2-4150-95c2-eb813009ab18,Pride Of The Dragon Peace,PlayStation 2,CIB,available,11.8,0,11.8,0,0,0,0,0,-11.8,6867383,Pride Of The Dragon Peace,JP Playstation 2,stored_id,ok
7e3eae70-80bd-471e-8fe2-a8117566e750,Project Gotham Racing,Xbox,CIB,available,7.99,3.77,7.99,3.74,0,0,0,0,-7.99,6521,Project Gotham Racing,Xbox,stored_id,ok
9aba6a66-828a-42b1-ae03-6059f73c8387,Rainbow Six,PlayStation,CIB,available,10.95,5.41,10.95,5.41,0,0,0,0,-10.95,12915,Rainbow Six,Playstation,stored_id,ok
6f9d0ae5-c2c9-48d4-bf21-0a1ff2e96315,Rapala Pro Bass Fishing 2010,Xbox 360,CIB,available,8.47,7.67,8.47,7.68,0,0,0,0,-8.47,22060,Rapala Pro Bass Fishing 2010,Xbox 360,stored_id,ok
8d4eb388-d581-4845-b523-1a6e13369d84,Sengoku Musou 3,Wii,CIB,available,11.05,10.45,11.05,10.45,0,0,0,0,-11.05,4476562,Sengoku Musou 3,JP Wii,upc,ok
3a0ceaa4-19d9-4c19-9330-e98d4a5a9d74,Shin Hokuto Musou,PlayStation 3,CIB,available,14.11,8.07,14.11,8.07,0,0,0,0,-14.11,152938,Shin Hokuto Musou,JP Playstation 3,stored_id,ok
dc93eed5-033e-4e41-b6ad-ad16b4d7d0ff,Shin Hokuto Musou,PlayStation 3,CIB,available,7,7,0,8.07,0,0,0,0,-7,152938,Shin Hokuto Musou,JP Playstation 3,stored_id,ok
aae60794-d126-4448-802e-6a2ad3caa4e9,Shin Sangoku Musou 4,PlayStation 2,CIB,available,6.6,4.47,6.6,4.47,0,0,0,0,-6.6,2158397,Shin Sangoku Musou 4,JP Playstation 2,title_platform,ok
27c0a535-fe55-40ec-a9a4-3d4c45b0f039,Skylanders Giants,Xbox 360,CIB,available,40,40,0,40,0,0,0,0,-40,33409,Skylander's Giants Starter Pack,Xbox 360,title_platform,ok
8fbd47c7-9aab-4c6a-a765-e75027280ca0,Sonic Boom Fire & Ice,3DS,CIB,available,13.77,13.77,0,14.48,0,0,0,0,-13.77,36963,Sonic Boom: Fire & Ice,Nintendo 3DS,title_only,ok
d1936c29-4de3-4b90-957c-e9650846e044,Splashdown Rides Gone Wild,PlayStation 2,CIB,available,10,5.22,10,5.22,0,0,0,0,-10,5802,Splashdown Rides Gone Wild,Playstation 2,stored_id,ok
a4e6e34e-d577-481d-aa4d-26647c47f948,Summer Sports Paradise Island,Wii,CIB,available,6.85,5.26,6.85,5.26,0,0,0,0,-6.85,13224,Summer Sports Paradise Island,Wii,upc,ok
ed38a1fe-582c-4e9e-9894-d6cfe8010f50,Super Monkey Ball: Banana Mania,Xbox One,CIB,available,11.97,7.99,11.97,9.69,0,0,0,0,-11.97,3741931,Super Monkey Ball: Banana Mania,Xbox One,upc,ok
9bd6f63e-6af9-49ea-af4c-5e2bb707c856,Super Monkey Ball: Banana Mania,Xbox One,CIB,available,11.97,9.69,11.97,9.69,0,0,0,0,-11.97,3741931,Super Monkey Ball: Banana Mania,Xbox One,upc,ok
